word,label
ndị ọjọọ,NEGATIVE
emela,POSITIVE
oganiihu,POSITIVE
ndu na aku,POSITIVE
ga akupu,NEGATIVE
nese okwu,NEGATIVE
ario,POSITIVE
oga niru,POSITIVE
ma mu ula,NEGATIVE
agwu ike,NEGATIVE
isi adiro gi,NEGATIVE
ranye,NEGATIVE
olaedo,POSITIVE
anaghị,NEGATIVE
akpa amu,NEGATIVE
isi gbari,NEGATIVE
‍️‍️‍️‍️‍️ afo ga asa,NEGATIVE
gozịe,POSITIVE
nile ndu,POSITIVE
kpọtụba,POSITIVE
ucheoma,POSITIVE
gbara anyi egwu eke,NEGATIVE
gwụrụ ike,NEGATIVE
nara ekele,POSITIVE
deme nụ,POSITIVE
ahuike,POSITIVE
nwannem,POSITIVE
onye amuma,POSITIVE
fachikwaa,NEGATIVE
nkem,POSITIVE
ndi ara,NEGATIVE
ngwuro,NEGATIVE
ogaranya ngada,POSITIVE
di mu mma,POSITIVE
ojija mma,POSITIVE
oriaku,POSITIVE
egwu a tụgbuo,NEGATIVE
udara mmicha,POSITIVE
ofuma ️,POSITIVE
afọ tara mmiri,NEGATIVE
malu akwukwo,POSITIVE
daajuo,POSITIVE
ezuzi,NEGATIVE
na kpari,NEGATIVE
nwanyi olaedo,POSITIVE
anụ nganga mpi,NEGATIVE
osebelu,NEGATIVE
ikpo ya oku,NEGATIVE
dim mma,POSITIVE
onwero,NEGATIVE
gbụ kwe,NEGATIVE
achogbu,NEGATIVE
egbuwara,POSITIVE
too anyi uto,POSITIVE
ọnye mmerị,NEGATIVE
agadi nwoke,POSITIVE
ya gaziere,POSITIVE
isi agbaka go,NEGATIVE
asala,NEGATIVE
agaghi,NEGATIVE
nsọ,POSITIVE
na ara,NEGATIVE
ịsị oche,NEGATIVE
idinma,POSITIVE
atọm,POSITIVE
dike na dimkpa,POSITIVE
emeru,NEGATIVE
isi ike,NEGATIVE
a gbarigo,NEGATIVE
negbuke,NEGATIVE
maara gi mma,POSITIVE
na akpari,NEGATIVE
ka gị mma,POSITIVE
nwayo,POSITIVE
gaatugbu gị,NEGATIVE
gbagharam,POSITIVE
ga egbu mmadụ,NEGATIVE
onye isi adiro,NEGATIVE
gide sie ike,POSITIVE
natụ m egwu,NEGATIVE
mezie,POSITIVE
beribe,NEGATIVE
kwado,POSITIVE
ashewo,NEGATIVE
ezemmuo,POSITIVE
akpịrị,NEGATIVE
onwe m,POSITIVE
itibolibo,NEGATIVE
gọzi,POSITIVE
amuosu,NEGATIVE
kitikpa,NEGATIVE
gozikwa,POSITIVE
èzigbò,POSITIVE
egbu mmadụ,NEGATIVE
atago afụfụ,NEGATIVE
ebube dike,POSITIVE
iwe ọkụ ‍️‍️‍️‍️,NEGATIVE
dukà dukà,NEGATIVE
ata gi aru,NEGATIVE
obi aňụlị,POSITIVE
obi chineke nna,POSITIVE
mmâ,POSITIVE
a furum gi nanya,POSITIVE
ibu gi nmadu,NEGATIVE
aru ike,POSITIVE
egbu kwa,NEGATIVE
na añụ anwụrụ ‍️‍️,POSITIVE
gbu,NEGATIVE
obi nwayo,POSITIVE
ịga adị,POSITIVE
egbu zi,NEGATIVE
igbu go,NEGATIVE
nafufu,NEGATIVE
lachaa gị,NEGATIVE
ndú,POSITIVE
e gbu mmadụ,NEGATIVE
nwannem ️,POSITIVE
odi mkpa,POSITIVE
nwà,POSITIVE
adaeze,POSITIVE
adirom,NEGATIVE
agwugo m,NEGATIVE
gbaagi ume,POSITIVE
ioma,POSITIVE
adikwam,NEGATIVE
obi esie m ike,NEGATIVE
igbu mmadu,NEGATIVE
eze,POSITIVE
mejọrọ,NEGATIVE
nnuku,POSITIVE
onwebeghi,NEGATIVE
ifele,NEGATIVE
anuli,POSITIVE
oga nihu,POSITIVE
agozigo gi,POSITIVE
nno,POSITIVE
me mma,POSITIVE
ahurum gi naya,POSITIVE
gbu e,NEGATIVE
atuasi,NEGATIVE
odinaka,POSITIVE
ife,NEGATIVE
gbuo gi,NEGATIVE
nsogbu ‍️,NEGATIVE
eji eje mba,POSITIVE
kaa nkà,POSITIVE
ala gbagbuo gi,NEGATIVE
ebugo,NEGATIVE
ikonu,NEGATIVE
dagbuo gị,NEGATIVE
rie nsi,NEGATIVE
atagbuo,NEGATIVE
piwa,NEGATIVE
ako nuche,POSITIVE
agụụ,NEGATIVE
èzigbòte,POSITIVE
öjöö,NEGATIVE
nkasiobi,NEGATIVE
agbawa,NEGATIVE
gbugo,NEGATIVE
osita,POSITIVE
bughi mmadu,NEGATIVE
ngọzi,POSITIVE
ara gba,NEGATIVE
abughim,NEGATIVE
asampete,POSITIVE
aguru,NEGATIVE
ajọ,NEGATIVE
añụrị,POSITIVE
efu uzo,NEGATIVE
megbuo,NEGATIVE
dị ike,POSITIVE
gbajiri gị aka,NEGATIVE
achala ugo,POSITIVE
gbakwo oku,NEGATIVE
o biliwo,POSITIVE
ozigbo,POSITIVE
adịhọ,NEGATIVE
achọ okwu,NEGATIVE
gwuru ike,NEGATIVE
kpoghepu,NEGATIVE
gi nma,POSITIVE
osụ ịmị,NEGATIVE
ike ndị a gwụrụ,NEGATIVE
aja gị mma,POSITIVE
onye aparị,NEGATIVE
onye inye aka,POSITIVE
agozi,POSITIVE
odeshi,NEGATIVE
aki onu,NEGATIVE
otito,POSITIVE
gwuru,NEGATIVE
na ebu,NEGATIVE
gbulum ike,NEGATIVE
ike gwurum,NEGATIVE
ojoo,NEGATIVE
ga ebu gi,NEGATIVE
agu di,NEGATIVE
imela ️,POSITIVE
ihe ojoo ‍️‍️‍️,NEGATIVE
atọ gbuo,NEGATIVE
isi agbaka,NEGATIVE
uto ndu,POSITIVE
dimkpa,POSITIVE
nnọọ,POSITIVE
na ewute,NEGATIVE
achalugo,POSITIVE
ndị àlà,NEGATIVE
ará,NEGATIVE
ejighi,NEGATIVE
agwula m,NEGATIVE
ndi iro,NEGATIVE
obi oma,POSITIVE
butuo mmuo,POSITIVE
adirozikwa,NEGATIVE
ònye ara,NEGATIVE
nwanna ‍️,POSITIVE
ndị ara,NEGATIVE
biko,POSITIVE
kitipka,NEGATIVE
ekepere,POSITIVE
oma️,POSITIVE
gbakashi,NEGATIVE
na ato ncha,NEGATIVE
ekele kwam gi,POSITIVE
gaziere,POSITIVE
ahurogi,NEGATIVE
olilanya,POSITIVE
fegbuo,NEGATIVE
onye anwuru,NEGATIVE
anwu anwu,NEGATIVE
gbue,NEGATIVE
macha mma,POSITIVE
ikenga,POSITIVE
riwaa nsị,NEGATIVE
gbum,NEGATIVE
nwérè madu,POSITIVE
oku mmuo,NEGATIVE
ike kwuluu oto gwụ,POSITIVE
obi atogbuela,POSITIVE
akpị,NEGATIVE
adiro,NEGATIVE
onye ala,NEGATIVE
adadioramma,POSITIVE
a atọ m,POSITIVE
nmanma,POSITIVE
rapum,NEGATIVE
onyenweanyị,POSITIVE
kpuo anyi isi,NEGATIVE
hụrụ nanya,POSITIVE
ndima,POSITIVE
mmuba akụ,POSITIVE
onwedi,NEGATIVE
adiiro,NEGATIVE
michapu gi onu,NEGATIVE
tabuo gị,NEGATIVE
nkwugheri,NEGATIVE
lachaa gị anya,NEGATIVE
agbakalam isi,NEGATIVE
ime,POSITIVE
gae gbum,NEGATIVE
obi dim uto,POSITIVE
chinedum,POSITIVE
akpari,NEGATIVE
ekelem,POSITIVE
ekenem gi,POSITIVE
ocho okwu,NEGATIVE
ejighi ahu,NEGATIVE
nkita ra chi gi ike,NEGATIVE
gbafou,NEGATIVE
onye nwe anyi,POSITIVE
ara gbashie,NEGATIVE
ọdịda,NEGATIVE
ya gazieere,POSITIVE
amuma asi,NEGATIVE
gi ike,POSITIVE
eziokwu,POSITIVE
ọnwụ,NEGATIVE
anwuo,NEGATIVE
ehihe oma,POSITIVE
gọzie,POSITIVE
onyedikagi,POSITIVE
obodo bu igwe,NEGATIVE
ochioha,POSITIVE
alusi,NEGATIVE
enwero,NEGATIVE
ọmarịcha,POSITIVE
ezi okwu,POSITIVE
dajie,NEGATIVE
ogologondu,POSITIVE
agaghim,NEGATIVE
ajo ofia,NEGATIVE
onye ofemmanu,NEGATIVE
na enye ndu,POSITIVE
gbuo mu,NEGATIVE
gaerigbu,NEGATIVE
okenye,POSITIVE
ike uwa gwuru,NEGATIVE
sagbukwa,NEGATIVE
ajọ obi,NEGATIVE
onye nso,POSITIVE
oku mmụọ,NEGATIVE
agunaechemba,POSITIVE
ndu anyi,POSITIVE
ife dị mma,POSITIVE
ipiakasi,NEGATIVE
egwu dikwa,NEGATIVE
dalunu,POSITIVE
ọnụ ọjọọ,NEGATIVE
agayim,NEGATIVE
adiri,NEGATIVE
ekperem,POSITIVE
ajọ mmadụ,NEGATIVE
ikeoha,POSITIVE
mezuoro,POSITIVE
ekwekwala,NEGATIVE
agbala,NEGATIVE
tụgbuo m,NEGATIVE
kparikwa,NEGATIVE
ọdịmma,POSITIVE
isi oma,POSITIVE
ndị asili,NEGATIVE
nsi,NEGATIVE
adiro gi,NEGATIVE
biri,POSITIVE
na gbaka m isi,NEGATIVE
nwanném,POSITIVE
gbukwa gi,NEGATIVE
dozie,POSITIVE
daalu,POSITIVE
onye ofe mmanụ,NEGATIVE
ndu na ahu ike,POSITIVE
onye dika gi,POSITIVE
ekele ‍️,POSITIVE
piawaa,NEGATIVE
bu ndu,POSITIVE
nukwu,POSITIVE
ogonogo ndu,POSITIVE
aja ike,NEGATIVE
afọ ajọ ka,NEGATIVE
anioma,POSITIVE
àgózigo,POSITIVE
afọ nsị,NEGATIVE
azụ anụ ụka,NEGATIVE
nwata,POSITIVE
gba gị ume,POSITIVE
aruru ala,NEGATIVE
anaghí así,NEGATIVE
ebezi akwa,NEGATIVE
ihe ojoo,NEGATIVE
ọnwụ ike,NEGATIVE
ọdogwu,POSITIVE
eshiela ike,NEGATIVE
nwere obi,POSITIVE
erim eri,NEGATIVE
ọrụ ebube,POSITIVE
otu ocha,NEGATIVE
ihe ọjọ,NEGATIVE
lụọ,NEGATIVE
oganiru,POSITIVE
achogo okwu,NEGATIVE
rachapu gi,NEGATIVE
ndidi,POSITIVE
ezenwanyi,POSITIVE
ekene,POSITIVE
mmeri,POSITIVE
ogologo ndụ,POSITIVE
kwudosie ike,POSITIVE
ahurum gi na anya,POSITIVE
mmemme,POSITIVE
ya gazie,POSITIVE
eme maaa,POSITIVE
lacha ike,NEGATIVE
ala gba,NEGATIVE
afo sagbuo,NEGATIVE
ogbu go,NEGATIVE
amunsu,NEGATIVE
egbuom,NEGATIVE
onye asi,NEGATIVE
uru ahia,POSITIVE
gbakwalu agba,NEGATIVE
odighi,NEGATIVE
kanma,POSITIVE
o nwere,NEGATIVE
ezi omume,NEGATIVE
ekpele,POSITIVE
enweghizi,NEGATIVE
aru adiro gi,NEGATIVE
jisie ịke,POSITIVE
mmá,POSITIVE
awụ gị na ala,NEGATIVE
onyenmeri,POSITIVE
adirokwanu,NEGATIVE
dalụ,POSITIVE
idimma,POSITIVE
ahu ike,POSITIVE
daalukwanu,POSITIVE
a diro,NEGATIVE
alasha go gi ike ️️️,NEGATIVE
gozikwa gị,POSITIVE
agu jim,NEGATIVE
amakeze,POSITIVE
aragba,NEGATIVE
mela,POSITIVE
makazi,POSITIVE
asa m pete,POSITIVE
ọnụ ọjọ,NEGATIVE
ndi ojoo,NEGATIVE
adim mma,POSITIVE
azụ ukpo,NEGATIVE
anumpam,NEGATIVE
yigbuo,NEGATIVE
akalakam,POSITIVE
na akpi nkpị,NEGATIVE
obi dim nma,POSITIVE
ebewe,NEGATIVE
gbukwa,NEGATIVE
agwugom,NEGATIVE
ebube,POSITIVE
kedu,POSITIVE
egubugo,NEGATIVE
na ndu,POSITIVE
onyejiego,POSITIVE
ngozi,POSITIVE
amaka,POSITIVE
ririm onu,NEGATIVE
gbabguo,NEGATIVE
nka si obi,POSITIVE
ike gwuru‍️,NEGATIVE
ala na apu gi,NEGATIVE
akpa ike,POSITIVE
gbasisi gi nti,NEGATIVE
gba gbuo gi,NEGATIVE
imebigo,NEGATIVE
anyinoria,POSITIVE
e gbu mmadu,NEGATIVE
a gwugom,NEGATIVE
egbu o,NEGATIVE
ndị mmụọ,NEGATIVE
gbara,NEGATIVE
ala piachie gị ntị,NEGATIVE
gbukwe gi,NEGATIVE
di mkpa,POSITIVE
mara ihe nke ukwu,POSITIVE
adirọ m,POSITIVE
ku gi ihe,NEGATIVE
omalichanwa,POSITIVE
zuzuru,NEGATIVE
onye ọjọọ,NEGATIVE
nwụọ,NEGATIVE
ije awele,NEGATIVE
atom,POSITIVE
️nwa,POSITIVE
ezi gbo,POSITIVE
sili ike,POSITIVE
agu neche mba,POSITIVE
asa nwa,POSITIVE
nnam,POSITIVE
gbukwe,NEGATIVE
jisi ike,POSITIVE
na ebezi akwa,NEGATIVE
ike agwo go mu,NEGATIVE
yi ara,NEGATIVE
ike gwuru ‍️‍️,NEGATIVE
obim,POSITIVE
kelenu,POSITIVE
nwaoma,POSITIVE
asamkpete,POSITIVE
chacha,NEGATIVE
ewu nwụrụ anwụ,NEGATIVE
gwukwara ike ‍️,NEGATIVE
kpachala anyi gi,NEGATIVE
delu,POSITIVE
adịrị,NEGATIVE
aku na uba,POSITIVE
okpu amụ,NEGATIVE
arịrịọ,POSITIVE
akwa nwa,POSITIVE
nke m,POSITIVE
gburu,NEGATIVE
ogaranya ngadanga,POSITIVE
onu ojor,NEGATIVE
di m mma,POSITIVE
egwù,NEGATIVE
ihe ọjọọ,NEGATIVE
áfó ómá,NEGATIVE
gozikwara,POSITIVE
onyeoma,POSITIVE
ọkpọ nkụ,NEGATIVE
ndi ālā,NEGATIVE
ekenekwam,POSITIVE
adadioranma,POSITIVE
dalu ibi,POSITIVE
nwem,POSITIVE
ézè,POSITIVE
gazierigi,POSITIVE
afọ saa,NEGATIVE
ike gi gwuru,NEGATIVE
ga adabara,NEGATIVE
obi,POSITIVE
chidera,POSITIVE
riwe ndu,POSITIVE
oku ala nmuo,NEGATIVE
afusie m anya,NEGATIVE
aja gi mma,POSITIVE
egwu na atụchari,NEGATIVE
hụrụ m nanya,POSITIVE
afutu bem,NEGATIVE
macha mma ‍️,POSITIVE
ajado,NEGATIVE
amara,POSITIVE
asili,NEGATIVE
egbukwa,NEGATIVE
ajọka,NEGATIVE
ara,NEGATIVE
gbara m ara,NEGATIVE
asa mpete,POSITIVE
ọbịakpo,NEGATIVE
ekenekwa,POSITIVE
anakogheri,NEGATIVE
añụli,POSITIVE
ọnye ọjọọ,NEGATIVE
gọzịwe,POSITIVE
onu mmanu mmanu,POSITIVE
obi mgbali elu,POSITIVE
adigonu,POSITIVE
asịrị,NEGATIVE
adirokwa,NEGATIVE
ike gị gwụrụ,NEGATIVE
onye nna,POSITIVE
ndị asịrị,NEGATIVE
mmà,POSITIVE
agbasa obi,NEGATIVE
nke anyi,POSITIVE
kpasuru iwe,NEGATIVE
nenye ndu,POSITIVE
somma,POSITIVE
gbawa,NEGATIVE
uche,POSITIVE
isi odikwa mu mma ️️️️,NEGATIVE
megbuola,NEGATIVE
imara mma,POSITIVE
ogbuefi,POSITIVE
eze ndieze,POSITIVE
gbawapu,NEGATIVE
uko,POSITIVE
repiakwa,NEGATIVE
agọzi,POSITIVE
ike nke naso oyi,NEGATIVE
gazie,POSITIVE
raputa,NEGATIVE
na enwu oku,NEGATIVE
gbaa gi ume,POSITIVE
onye nmehe,NEGATIVE
mgbu,NEGATIVE
ibughi mmadụ,NEGATIVE
yagazie,POSITIVE
onye oshi,NEGATIVE
nke ndu,POSITIVE
tagbogi,NEGATIVE
mma,POSITIVE
afọ osusa,NEGATIVE
dị mma️,POSITIVE
ọnye mmụọ,NEGATIVE
achalaugo,POSITIVE
oke mkpotu,NEGATIVE
naeto,POSITIVE
iburo,NEGATIVE
onye nnwe aanyi,POSITIVE
a maka,POSITIVE
nwe egwu,POSITIVE
anwuli,POSITIVE
ri nne,POSITIVE
malu mma,POSITIVE
arusi,NEGATIVE
nkea atọm,POSITIVE
na enwunu oku,NEGATIVE
nyem ike,POSITIVE
adọkago,NEGATIVE
igbu,NEGATIVE
ịhụnanya,POSITIVE
oma ️,POSITIVE
ukwu anu,NEGATIVE
gwukwara ike,NEGATIVE
akpari mmadu,NEGATIVE
na ko m onu,NEGATIVE
ahuhu,NEGATIVE
naeji ụgwọ,NEGATIVE
adicha mma,POSITIVE
na ndu gi,POSITIVE
na etigbu ilo,NEGATIVE
ònye ará,NEGATIVE
nwa nne,POSITIVE
onye nkuzi,POSITIVE
ẹkwẹnsụ,NEGATIVE
chukwu gozie,POSITIVE
obughi,NEGATIVE
gbaka m isi,NEGATIVE
obi akpọ,NEGATIVE
adagbuo,NEGATIVE
nne m,POSITIVE
nwanyi ajadu,NEGATIVE
ezuzu,NEGATIVE
dajuo,POSITIVE
gbahara,POSITIVE
aghugho,NEGATIVE
nwanyi ota akpu,NEGATIVE
gbaa gị ume,POSITIVE
daalụ,POSITIVE
inweghi,NEGATIVE
kelee,POSITIVE
nnukwute,POSITIVE
ọnwunwa,NEGATIVE
negbu,NEGATIVE
gwakwa oku,NEGATIVE
nchachi anya,NEGATIVE
ndiara,NEGATIVE
ike adiro m,NEGATIVE
egbu gi,NEGATIVE
ọganihu,POSITIVE
nwuo,NEGATIVE
ọjọ,NEGATIVE
na agwu ike,NEGATIVE
agwugo,NEGATIVE
ga gbukwa,NEGATIVE
nma nma,POSITIVE
ike agwugo,NEGATIVE
gba gi ume,POSITIVE
ndi na gba mgbo,POSITIVE
ndi ofe manu,NEGATIVE
ike agwulam,NEGATIVE
izuzu,NEGATIVE
mkpari,NEGATIVE
akpụ obi,NEGATIVE
atughari,NEGATIVE
ebere‍️,POSITIVE
egbuwara isi,NEGATIVE
apiti‍️,NEGATIVE
gá egbụ,NEGATIVE
oria isi,NEGATIVE
gozi go gi,POSITIVE
iga adi,POSITIVE
maa mma,POSITIVE
mmebi,NEGATIVE
oshi,NEGATIVE
ekwueme,POSITIVE
onu ojo,NEGATIVE
obinigwe,POSITIVE
nwanyi oma,POSITIVE
atoo,POSITIVE
a gwu go,NEGATIVE
apịafukwa,NEGATIVE
akaoma,POSITIVE
idi mma,POSITIVE
di uto,POSITIVE
mawa gi ọnụ,NEGATIVE
gwum,NEGATIVE
odogwu akataka,POSITIVE
riine,POSITIVE
rinee,POSITIVE
neme mma,POSITIVE
nonyere,POSITIVE
acholu m,NEGATIVE
alaputagom,NEGATIVE
enyioma,POSITIVE
ike a gwugo,NEGATIVE
ekele,POSITIVE
agbonma,POSITIVE
agworia,POSITIVE
agahi,NEGATIVE
gaegbu,NEGATIVE
azuru azu,POSITIVE
mmuozi,POSITIVE
nna ochie,POSITIVE
n sogbu,NEGATIVE
ihe oma,POSITIVE
zukwaanu ike,POSITIVE
òtítọ́,POSITIVE
ahu mgbasike,POSITIVE
mgbawa isi,NEGATIVE
njo,NEGATIVE
adighi anu ife,NEGATIVE
adiro mụ,NEGATIVE
ebere,POSITIVE
e gbu,NEGATIVE
gbuo,NEGATIVE
ndimmuo,NEGATIVE
nwoke m,POSITIVE
afo osisa,NEGATIVE
o dikwa egwu,NEGATIVE
akonuuche,POSITIVE
isike,NEGATIVE
ụgwọ,NEGATIVE
onye oma,POSITIVE
ndukaku,POSITIVE
tufiakwa‍️,NEGATIVE
mmamma,POSITIVE
akwaugo,POSITIVE
kacha mma,POSITIVE
nzuzo,NEGATIVE
aru isike,POSITIVE
mechie onu,NEGATIVE
agbawa m,NEGATIVE
ngbaghasi,NEGATIVE
efu,NEGATIVE
nwayọọ,POSITIVE
chọọ gị mma,POSITIVE
ike gi adiro,NEGATIVE
gaadi,POSITIVE
oku eligwe,NEGATIVE
omemma,POSITIVE
akajiaku,POSITIVE
akpa ibi,NEGATIVE
akwụkwọ nsọ,POSITIVE
isi adirokwanu gi nma,NEGATIVE
agba mgbo,POSITIVE
onyeeze,POSITIVE
oluku,NEGATIVE
ndi nzuzu,NEGATIVE
na ese okwu,NEGATIVE
ji na oru,NEGATIVE
ôpipia,POSITIVE
monsoo,POSITIVE
gi mma,POSITIVE
hapuruanyi,NEGATIVE
i ma mma,POSITIVE
nwunye,POSITIVE
merie,NEGATIVE
gbagbuo,NEGATIVE
adirogodi,NEGATIVE
ọma ️,POSITIVE
ugomma,POSITIVE
nwuru,NEGATIVE
obi utó,POSITIVE
dirokwa,NEGATIVE
muo nso,POSITIVE
onye nkem,POSITIVE
mmehe,NEGATIVE
úkwù,NEGATIVE
olu ebube,POSITIVE
ikwusi,NEGATIVE
ogbu mmadu,NEGATIVE
ndeewoo,POSITIVE
ezigbo,POSITIVE
kpo ya oku,NEGATIVE
ife ọma,POSITIVE
ọkụ mmụọ,NEGATIVE
mejọlụ‍️,NEGATIVE
emume,POSITIVE
nihunanya,POSITIVE
onwe bedi,NEGATIVE
onu nsi,NEGATIVE
odogwu,POSITIVE
ajuru,NEGATIVE
rie nne,POSITIVE
