word,machine,human,label
uneconomical,mara tattalin arziki,mara tattalin arziki,NEGATIVE
usurped,kwace,kwace,NEGATIVE
less-developed,ƙasa da ƙasa,koma baya,NEGATIVE
motherfucker,uwa-uba,mai cin uwa,NEGATIVE
lamentable,makoki,abin nadama,NEGATIVE
barred,an hana,an hana,NEGATIVE
allied,kawance,kawance,POSITIVE
hamper,takurawa,takurawa,NEGATIVE
disgusted,ƙyama,ƙyama,NEGATIVE
worm,tsutsa,tsutsa,NEGATIVE
bashful,bashful,zagi,NEGATIVE
fortify,ƙarfafa,ƙarfafa,POSITIVE
stiffness,taurin kai,kafiya,NEGATIVE
accuses,zargi,ya zargi,NEGATIVE
dull,maras ban sha'awa,dolo,NEGATIVE
toast,gasa,gasawa,POSITIVE
screwed up,ƙuƙwara,ƙuƙwara,NEGATIVE
merrily,cikin farin ciki,cikin farin ciki,POSITIVE
bores,m,ya damu,NEGATIVE
martyrdom-seeking,neman shahada,neman shahada,NEGATIVE
imperfections,ajizanci,ajizanci,NEGATIVE
alienate,rabuwa,rabuwa,NEGATIVE
solicitously,a hankali,a hankali,POSITIVE
organic,kwayoyin halitta,kwayoyin halitta,POSITIVE
blatantly,a fili,a fili,NEGATIVE
catastrophic,masifa,mai masifa,NEGATIVE
throbbing,yin rawar jiki,yin rawar jiki,NEGATIVE
interruption,katsewa,katsewa,NEGATIVE
baboon,biri,biri,NEGATIVE
immediately,nan da nan,nan da nan,POSITIVE
intellectual,mai hankali,mai hankali,POSITIVE
detention,tsarewa,tsarewa,NEGATIVE
jeering,izgili,izgili,NEGATIVE
tangles,tangles,ya  shiga rigima,NEGATIVE
reprehension,tunani,tunani,NEGATIVE
distillation,distillation,tsaftacew,POSITIVE
blob,toshe,toshe,NEGATIVE
muddled,muddled,rashin tsari,NEGATIVE
classify,rarrabasu,rarrabasu,POSITIVE
snide,huci,huci,NEGATIVE
hang,rataya,rataya,NEGATIVE
well-known,sananne,sananne,POSITIVE
adultery,zina,zina,NEGATIVE
subservience,biyayya,biyayya,NEGATIVE
indoctrinate,indoctrinate,canja ra'ayi,NEGATIVE
outstanding,fitacce,fitacce,NEGATIVE
sanguine,sanguine,mai kwarin guiwa,POSITIVE
blessed,mai albarka,mai albarka,POSITIVE
distraughtly,cikin damuwa,cikin damuwa,NEGATIVE
outreach,kai bishara,kai bishara,POSITIVE
spruce,spruce,kayatarwa,POSITIVE
subjugate,subjugate,mamayewa,NEGATIVE
stripe,tsiri,tsirara,NEGATIVE
culpable,m,mai laifi,NEGATIVE
armed,dauke da makamai,dauke da makamai,NEGATIVE
eager,mai ɗoki,mai ɗoki,POSITIVE
mysterious,m,mai wuyar fahimta,NEGATIVE
proudly,alfahari,alfahari,POSITIVE
discountenance,ragi,ragi,NEGATIVE
irksome,maras kyau,mai sosa rai,NEGATIVE
sparkle,walƙiya,walƙiya,POSITIVE
unreadable,wanda ba a iya karantawa,wanda ba a iya karantawa,NEGATIVE
busybody,mai shagala,shagalalle,NEGATIVE
exhilaratingly,exhilaratingly,cike da murna,POSITIVE
implacable,implacable,maras aibu,NEGATIVE
threats,barazanar,barazanar,NEGATIVE
perennial,m,dadadde,POSITIVE
lewdly,lalaci,lalaci,NEGATIVE
supporting,tallafawa,tallafawa,POSITIVE
melee,melee,dandazon mutane,NEGATIVE
stellar,tauraruwa,tauraruwa,POSITIVE
implicate,haddasawa,haddasawa,NEGATIVE
loose,sako-sako da,sako-sako da,NEGATIVE
government,gwamnati,gwamnati,NEGATIVE
marvelous,ban mamaki,ban mamaki,POSITIVE
adventuresome,kasada,kasada,POSITIVE
gawky,gawky,sakin baki ana kallo,NEGATIVE
mendacious,mendacious,tilas,NEGATIVE
spurn,zub da jini,zub da jini,NEGATIVE
wrong,ba daidai ba,ba daidai ba,NEGATIVE
shortsighted,rashin hangen nesa,rashin hangen nesa,NEGATIVE
jubilantly,jubilantly,cikin farin ciki,POSITIVE
fascist,ɗan fasist,ɗan fasist,NEGATIVE
misbehaves,misbehaves,yana  shirme,NEGATIVE
impairment,nakasa,nakasa,NEGATIVE
vicious,mugu,mugu,NEGATIVE
detestably,abin ƙyama,abin ƙyama,NEGATIVE
lyre,waka,waka,POSITIVE
facilitate,sauƙaƙe,sauƙaƙe,POSITIVE
faeces,najasa,najasa,NEGATIVE
spoon-fed,cokali-ciyar,shagwaba,NEGATIVE
vixen,vixen,mace masifaffiya,NEGATIVE
nameless,mara suna,mara suna,NEGATIVE
aristocratic,aristocratic,dan babban gida mai matukar matsayi,POSITIVE
independence,'yancin kai,'yancin kai,POSITIVE
pesky,pesky,mai ban haushi,NEGATIVE
humming,humming,sauti kamar zuma,NEGATIVE
overtaking,wucewa,wucewa,POSITIVE
puzzlement,rudani,rudani,NEGATIVE
all-around,kewaye-kewaye,kewaye-kewaye,POSITIVE
darken,yi duhu,yi duhu,NEGATIVE
overpayed,cika aiki,aringizo,NEGATIVE
illnesses,cututtuka,cututtuka,NEGATIVE
shapely,fasali,fasali,POSITIVE
tortured,azaba,azaba,NEGATIVE
delighting,murna,murna,POSITIVE
kick,shura,buga,NEGATIVE
disturbing,damuwa,damuwa,NEGATIVE
nectar,ruwan zuma,ruwan zuma,POSITIVE
disrepute,bata suna,bata suna,NEGATIVE
defer,a jinkirta,jinkirta,NEGATIVE
evocative,m,sosa zuciya,POSITIVE
intimacy,kusanci,kusanci,POSITIVE
detain,tsare,tsare,NEGATIVE
seduced,yaudare,yaudare,NEGATIVE
delaying,jinkirtawa,jinkirtawa,NEGATIVE
barbarically,dabbanci,cikin dabbanci,NEGATIVE
aspirations,buri,buri,POSITIVE
wish,fata,fata,POSITIVE
skeptical,m,abin shakku,NEGATIVE
nepotism,nuna son kai,nuna son kai,NEGATIVE
ignominious,abin kunya,abin kunya,NEGATIVE
rape,fyaɗe,fyaɗe,NEGATIVE
stripped,ya tube,ya tube,NEGATIVE
dire,dire,muhimmi,NEGATIVE
earthquake,girgizar ƙasa,girgizar ƙasa,NEGATIVE
expire,kare,kare,NEGATIVE
diagnosis,ganewar asali,ganewar asali,NEGATIVE
caustically,a hankali,a hankali,NEGATIVE
irritations,fushin,fushin,NEGATIVE
sorrow,baƙin ciki,baƙin ciki,NEGATIVE
ensure,tabbatar,tabbatar,POSITIVE
deadlock,makulli,makulli,NEGATIVE
bewail,yi makoki,yi makoki,NEGATIVE
bold,m,babba,POSITIVE
unfazed,ba damuwa,ba damuwa,POSITIVE
grievance,damuwa,damuwa,NEGATIVE
rejoiced,yi murna,yi murna,POSITIVE
limits,iyaka,ya iyakance,NEGATIVE
plaything,wasa,wasa,NEGATIVE
skeptically,cikin shakka,cikin shakka,NEGATIVE
stab,soka,soka,NEGATIVE
baseless,mara tushe,mara tushe,NEGATIVE
fuss,hayaniya,hayaniya,NEGATIVE
harrowing,damuwa,damuwa,NEGATIVE
softer,laushi,laushi,POSITIVE
validating,ingantawa,ingantawa,POSITIVE
sh*t,sh * t,aikin banza,NEGATIVE
relentlessness,sakewa,sakewa,NEGATIVE
cute,kyakkyawa,kyakkyawa,POSITIVE
sunken,sunken,nitsewa,NEGATIVE
capability,iyawa,iyawa,POSITIVE
genial,genial,haziki,POSITIVE
swollen,kumbura,kumbura,NEGATIVE
advantages,ab advantagesbuwan amfãni,amfani,POSITIVE
smudging,smudging,yin fancale,NEGATIVE
discriminating,nuna bambanci,nuna bambanci,NEGATIVE
provoked,tsokanata,tsokano,NEGATIVE
disappointments,jin cizon yatsa,jin cizon yatsa,NEGATIVE
mirth,murna,murna,POSITIVE
skulk,skulk,buya a cikin razani,NEGATIVE
salute,sallama,sallama,POSITIVE
perverse,karkace,karkace,NEGATIVE
derides,izgili,yana  izgili,NEGATIVE
hydrocephalus,hydrocephalus,cutar taruwar ruwa a cikin kwakwalwa,NEGATIVE
insolent,rashin kunya,rashin kunya,NEGATIVE
mischievously,mischievously,rigima,NEGATIVE
invisible,ganuwa,rashin ganuwa,NEGATIVE
cascade,cascade,zuwan abu bi-da-bi,POSITIVE
oks,oks,yarda,POSITIVE
scarier,firgita,firgita,NEGATIVE
fury,fushi,fushi,NEGATIVE
firmer,firmer,dankararre,POSITIVE
predominant,rinjaye,mai rinjaye,POSITIVE
prolong,tsawaita,tsawaita,NEGATIVE
ambivalent,ambivalent,shakku,NEGATIVE
pedigree,zuriya,zuriya,POSITIVE
tetchily,saudala,mai jin haushi,NEGATIVE
frustration,takaici,fusatarwa,NEGATIVE
pissed,ji haushi,ji haushi,NEGATIVE
sugar-coated,mai rufin sukari,ja hankali,NEGATIVE
luxurious,na marmari,na jin dadi,POSITIVE
frenzied,frenzied,haukan nishadi,NEGATIVE
brilliant,m,mai basira,POSITIVE
intoxicate,buguwa,buguwa,NEGATIVE
pleased,yarda,yarda,POSITIVE
insignificant,maras muhimmanci,maras muhimmanci,NEGATIVE
tragic,mai ban tausayi,mai ban tausayi,NEGATIVE
benevolent,mai kyautatawa,mai kyautatawa,POSITIVE
hesitate,yi shakka,yi shakka,NEGATIVE
simplifying,sauƙaƙe,sauƙaƙe,POSITIVE
respects,girmamawa,girmamawa,POSITIVE
attachment,abin da aka makala,abin da aka makala,POSITIVE
heresy,bidi'a,bidi'a,NEGATIVE
rattle,ƙaras-ƙaras,ƙaras-ƙaras,NEGATIVE
unforgettable,wanda ba za'a iya mantawa dashi ba,wanda baya mantuwa,POSITIVE
misjudge,kuskure,kuskure,NEGATIVE
straight,madaidaiciya,madaidaiciya,POSITIVE
enthuse,sha'awa,sha'awa,POSITIVE
heroize,jaruntaka,jaruntaka,POSITIVE
wot,wot,kaifin basira,POSITIVE
smoothly,sannu,sumul-sumul,POSITIVE
sciatica,sciatica,ciwon baya,NEGATIVE
constant,akai,akai -akai,POSITIVE
insincerely,mara gaskiya,mara gaskiya,NEGATIVE
spotless,tabo,mara tabo,POSITIVE
pine,pine,son abin da ba zai yiwu ba,NEGATIVE
humiliating,mai wulakanci,mai wulakanci,NEGATIVE
statement,sanarwa,sanarwa,POSITIVE
blockage,toshewa,toshewa,NEGATIVE
denunciations,la'anta,la'anta,NEGATIVE
torpedo,torpedo,bom na kasan ruwa,NEGATIVE
oblique,haruffa,abin da aka fada ko aikata ba kai tsaye ba,NEGATIVE
straggle,madaidaiciya,madaidaiciya,NEGATIVE
quarrellous,rigima,rigima,NEGATIVE
murdering,kisan kai,kisan kai,NEGATIVE
suspicions,zato,zato,NEGATIVE
extinguish,kashewa,kashewa,NEGATIVE
admirably,abin sha'awa,abin sha'awa,POSITIVE
encroachment,cin amana,cin amana,NEGATIVE
antifungal,antifungal,maganin kwari,POSITIVE
helping,taimaka,taimaka,POSITIVE
deceitfulness,yaudara,yaudara,NEGATIVE
over-acted,wuce gona da iri,wuce makadi da rawa,NEGATIVE
sputter,sputter,a hankali,NEGATIVE
toad,toda,kwado,NEGATIVE
wishes,buri,yana fata,POSITIVE
cleaning,tsaftacewa,tsaftacewa,POSITIVE
denial,musu,musu,NEGATIVE
cannon,igwa,igwa,NEGATIVE
manipulate,yi amfani da shi,sarrafawa,NEGATIVE
cautious,m,mai kula,POSITIVE
contemptuous,raini,raini,NEGATIVE
delightfulness,ni'ima,farin ciki,POSITIVE
obliterated,shafewa,shafewa,NEGATIVE
lurks,lurks,yayi lamfo,NEGATIVE
disgustedly,ƙyama,ƙyama,NEGATIVE
unison,unison,gamayya,POSITIVE
engrossing,cikawa,cikawa,POSITIVE
honouring,girmamawa,girmamawa,POSITIVE
grieve,yi baƙin ciki,yi baƙin ciki,NEGATIVE
hygienic,tsafta,tsafta,POSITIVE
indiscretion,rashin hankali,rashin hankali,NEGATIVE
dirt,datti,datti,NEGATIVE
deteriorated,ya lalace,ya lalace,NEGATIVE
wavering,girgizawa,girgizawa,NEGATIVE
cunts,katako,takadarin mutum,NEGATIVE
fortitude,karfin gwiwa,karfin gwiwa,POSITIVE
carefully,a hankali,a hankali,POSITIVE
misgiving,rashin kuskure,rashin kuskure,NEGATIVE
sluts,sluts,karuwai,NEGATIVE
adaptive,Na'urar daidaitawa,abin daidaitawa,POSITIVE
thankful,godiya,mai godiya,POSITIVE
comfortably,cikin kwanciyar hankali,cikin kwanciyar hankali,POSITIVE
quaking,girgiza,girgiza,NEGATIVE
unappreciated,rashin godiya,wanda ba a gode ba,NEGATIVE
rota,rota,jadawalin ma'aikata,POSITIVE
amused,nishaɗi,nishaɗi,POSITIVE
apologise,yi hakuri,yi afuwa,NEGATIVE
radio,rediyo,rediyo,POSITIVE
dignified,mai martaba,mai martaba,POSITIVE
thanks,godiya,godiya,POSITIVE
tops,fi,yana saman,POSITIVE
cheats,mai cuta,yana  yaudara,NEGATIVE
wise,hikima,hikima,POSITIVE
unwelcome,maraba,rashin maraba,NEGATIVE
raptors,raptors,tsuntsaye masu farauta,NEGATIVE
falsehood,karya,karya,NEGATIVE
appreciative,godiya,godiya,POSITIVE
anathema,tsinema,kin wani ko tsana,NEGATIVE
precipitate,zuga,zuga,NEGATIVE
irredeemable,wanda ba zai yiwu ba,wanda ba zai yiwu ba,NEGATIVE
sensual,sha'awa,sha'awa,POSITIVE
banal,banal,nanatawa,NEGATIVE
dexterously,deraminci,deraminci,POSITIVE
harasses,tursasawa,tursasawa,NEGATIVE
exasperated,exasperated,tunzura,NEGATIVE
avid,m,matukar sha'awa,POSITIVE
befoul,zama mara kyau,zama mara kyau,NEGATIVE
maledict,la'ana,la'ana,NEGATIVE
trivially,mara kyau,mara kyau,POSITIVE
maladjustment,rashin daidaitawa,rashin daidaitawa,NEGATIVE
mispronounce,ɓarna,ɓarna,NEGATIVE
disintegrated,tarwatse,tarwatse,NEGATIVE
annihilation,halakarwa,halakarwa,NEGATIVE
wobbles,wobbles,yana  rawar jiki,NEGATIVE
epic,almara,almara,POSITIVE
level,matakin,matakin,POSITIVE
disagreeably,ban yarda ba,a halin rashin yarda,NEGATIVE
monopolist,dan siyasa,dan siyasa,NEGATIVE
withered,ya bushe,ya bushe,NEGATIVE
intriguingly,mai ban sha'awa,mai ban sha'awa,POSITIVE
favorited,fi so,fi so,POSITIVE
customer,abokin ciniki,abokin ciniki,POSITIVE
renewed,sabunta,sabunta,POSITIVE
frankness,faɗin gaskiya,faɗin gaskiya,POSITIVE
gaffe,gaffe,zancen banza,NEGATIVE
flaccid,m,rarrauna,NEGATIVE
ingenuous,wayo,wayo,POSITIVE
sustainable,mai dorewa,mai dorewa,POSITIVE
mind-blowing,hankali-hurawa,mai tada hankali,POSITIVE
pigs,aladu,aladu,NEGATIVE
unjustly,bisa zalunci,bisa zalunci,NEGATIVE
taint,ƙazanta,ƙazanta,NEGATIVE
disbeliever,kafiri,kafiri,NEGATIVE
menacingly,menacingly,cikin hadari,NEGATIVE
nobleman,mai martaba,mai martaba,POSITIVE
sentinel,mai aikawa,mai aikawa,POSITIVE
inadvisable,wanda ba a iya gani,wanda ba a iya gani,NEGATIVE
brashness,brashness,kuri da jin kai,NEGATIVE
drunken,buguwa,buguwa,NEGATIVE
foul,rashin kyau,rashin kyau,NEGATIVE
enthralled,mai ban sha'awa,mai ban sha'awa,POSITIVE
fustigate,fustigate,matukar sukar abu,NEGATIVE
blindly,makafi,a makance,NEGATIVE
crying,kuka,kuka,NEGATIVE
lax,lax,sako-sako,NEGATIVE
martyr,shahidi,shahidi,NEGATIVE
oversimplify,ƙara sauƙaƙa,ƙara sauƙaƙa,NEGATIVE
heckle,shege,shegantaka,NEGATIVE
sass,sass,lafiyayye,NEGATIVE
screwed-up,dunƙule-up,yin kuskure,NEGATIVE
birch,birch,duka a duwawu da bulala,NEGATIVE
slum,unguwa,unguwa,NEGATIVE
chic,yara,yara,POSITIVE
morbidly,da kyau,mara dadi,NEGATIVE
skewed,karkata,karkata,NEGATIVE
completeness,cikawa,cikawa,POSITIVE
subversion,zagon kasa,zagon kasa,NEGATIVE
suspect,wanda ake zargi,wanda ake zargi,NEGATIVE
pessimistically,rashin tsammani,rashin tsammani,NEGATIVE
visioning,hangen nesa,hangen nesa,POSITIVE
adder,adda,mugun maciji,NEGATIVE
enliven,rayayyu,rayayyu,POSITIVE
star,tauraro,tauraro,POSITIVE
pool,tafki,tafki,POSITIVE
cigarette,taba,taba,NEGATIVE
spellbind,mai kyau,mai kyau,POSITIVE
vice,mataimakin,mataimakin,NEGATIVE
argumentative,mai jayayya,mai jayayya,NEGATIVE
unjustifiable,wanda ba a iya gaskata shi ba,wanda ba a iya gaskata shi ba,NEGATIVE
courtesy,ladabi,girmamawa,POSITIVE
unwillingly,ba da son ranta ba,ba da son ranta ba,NEGATIVE
intractable,m,wuyar sha'ani,NEGATIVE
amiabily,aminabily,mai kyan mu'amala,POSITIVE
wrath,fushi,fushi,NEGATIVE
paraphrase,fasara,fasara,NEGATIVE
inanely,mara kyau,mara kyau,NEGATIVE
strengthen,ƙarfafa,ƙarfafa,POSITIVE
scaly,fure,fure,NEGATIVE
flake,flake,abu dan mitsitsi,NEGATIVE
victimizing,azabtarwa,azabtarwa,NEGATIVE
expropriation,kwacewa,kwacewa,NEGATIVE
static,tsaye,tsaye,NEGATIVE
grisly,cike da annashuwa,cike da annashuwa,NEGATIVE
guilty,laifi,laifi,NEGATIVE
distorted,gurbata,gurbata,NEGATIVE
failed,kasa,kasa,NEGATIVE
amiss,rashin lafiya,rashin lafiya,NEGATIVE
lapses,lapses,fancale,NEGATIVE
impenitent,rashin gafala,rashin gafala,NEGATIVE
brothel,gidan karuwai,gidan karuwai,NEGATIVE
exonerated,zargewa,zugawa,POSITIVE
retained,rike,rike,NEGATIVE
inhibition,hanawa,hanawa,NEGATIVE
defamation,bata suna,bata suna,NEGATIVE
experienced,gogaggu,gogaggu,POSITIVE
exceed,wuce,wuce,POSITIVE
fudge,fudge,shashanci,NEGATIVE
completion,kammalawa,kammalawa,POSITIVE
denier,mai musun,mai musun,NEGATIVE
humid,m,dumin yanayi,NEGATIVE
unbearablely,wanda ba zai iya jurewa ba,wanda ba zai iya jurewa ba,NEGATIVE
witch,boka,boka,NEGATIVE
gimmicks,gimtsamai,ya na komawa baya,NEGATIVE
injury,rauni,rauni,NEGATIVE
feat,feat,yi da kyar,POSITIVE
distract,shagala,shagala,NEGATIVE
malicious,sharri,sharri,NEGATIVE
withdraw,janye,janye,NEGATIVE
opinionated,ra'ayi,ra'ayi,NEGATIVE
neighbor,makwabci,makwabci,POSITIVE
record-setting,rikodin-saitin,kafa tarihi,POSITIVE
agonizingly,agonizingly,cikin rashin hankali,NEGATIVE
sack,buhu,buhu,NEGATIVE
contender,contender,dan gwagwarmaya,NEGATIVE
regrettable,nadama,nadama,NEGATIVE
destroying,lalata,lalata,NEGATIVE
quieter,ya fi shuru,shiru,POSITIVE
hilarity,walwala,walwala,POSITIVE
hot,zafi,zafi,POSITIVE
vouchsafe,bawsafe,bawa mutum dama,POSITIVE
confess,furta,furta,POSITIVE
disappointing,m,kunyatar,NEGATIVE
killjoy,kashewa,kashe jiki,NEGATIVE
offer,tayin,tayi,POSITIVE
closeness,kusanci,kusanci,POSITIVE
mother,uwa,uwa,POSITIVE
daringly,cikin tsoro,cikin tsoro,POSITIVE
unusually,sabon abu,sabon abu,NEGATIVE
caretaker,mai kulawa,mai kulawa,POSITIVE
steals,sata,yana sata,NEGATIVE
qualm,kwasfa,kwasfa,NEGATIVE
exaltingly,samawan,cike da daukaka,POSITIVE
portable,šaukuwa,sauki,POSITIVE
goods,kaya,kaya,POSITIVE
approval,yarda,yarda,POSITIVE
kills,ya kashe,ya kashe,NEGATIVE
biblical,Littafi Mai Tsarki,Littafi Mai Tsarki,POSITIVE
pluses,ƙari,ƙari,POSITIVE
spasm,spasm,jin radadi a jiki,NEGATIVE
repulsion,tunkudewa,tunkudewa,NEGATIVE
integrated,hadedde,hadedde,POSITIVE
enigmatic,m,mai wuyar fahimta,NEGATIVE
discontinuity,katsewa,katsewa,NEGATIVE
goodwill,fatan alheri,fatan alheri,POSITIVE
antichrist,maƙiyin Kristi,maƙiyin Kristi,NEGATIVE
debatable,muhawara,na cece-kuce,NEGATIVE
punished,hukunta,hukunta,NEGATIVE
ugliest,mafi munin,mafi munin,NEGATIVE
weed,sako,sako,NEGATIVE
struggled,fama,fama,NEGATIVE
misbegotten,misbegotten,guguwar fahimta,NEGATIVE
crystal,lu'ulu'u,lu'ulu'u,POSITIVE
misunderstands,rashin fahimta,rashin fahimta,NEGATIVE
glitch,glitch,matsala,NEGATIVE
verdant,verdant,mai launin Kore,POSITIVE
energy-saving,tanadin kuzari,tanadin kuzari,POSITIVE
underline,ja layi,ja layi,POSITIVE
uplift,daukaka,daukaka,POSITIVE
fascinates,yana burgewa,yana burgewa,POSITIVE
sortie,iri,iri,NEGATIVE
judicial,shari'a,shari'a,POSITIVE
moan,nishi,nishi,NEGATIVE
vulture,ungulu,ungulu,NEGATIVE
improbability,rashin yiwuwar,rashin yiwuwar,NEGATIVE
moans,nishi,nishi,NEGATIVE
genuine,gaske,gaske,POSITIVE
fits,yayi daidai,yayi daidai,NEGATIVE
stabs,soka,yana sokawa,NEGATIVE
comforts,ta'aziya,yana ta'aziyya,POSITIVE
crisp,kintsattse,kintsattse,NEGATIVE
catastrophes,masifu,masifu,NEGATIVE
gravely,mai tsanani,mai tsanani,NEGATIVE
droop,droop,lankwasashshe,NEGATIVE
mastery,ƙwarewa,ƙwarewa,POSITIVE
shoulder,kafada,kafada,POSITIVE
manage,sarrafa,sarrafa,POSITIVE
slime,slime,abu mai santsi,NEGATIVE
adviser,mai ba da shawara,mai ba da shawara,POSITIVE
tenderness,taushi,taushi,NEGATIVE
admits,yarda,yana  yarda,NEGATIVE
affability,amintacce,amintacce,POSITIVE
conspire,kulla makirci,kulla makirci,NEGATIVE
truthful,mai gaskiya,mai gaskiya,POSITIVE
cheesecake,cuku,cukui,NEGATIVE
incur,jawo,jawo,NEGATIVE
dotingly,dimately,cikin kauna,POSITIVE
queer,kwata kwata,kwata kwata,NEGATIVE
circumcision,kaciya,kaciya,POSITIVE
midget,matsakaita,matsakaita,NEGATIVE
destructive,mai hallakaswa,mai hallakaswa,NEGATIVE
rhythmical,rhythmical,amsa amo,POSITIVE
apologizing,neman afuwa,yin afuwa,NEGATIVE
inteferes,inteferes,yana cusa kai,NEGATIVE
effortless,effortless,a saukake,POSITIVE
palatial,sarauta,gidan fada,POSITIVE
pry,nuna,nuna,NEGATIVE
licentiously,asirina,maras da'a a bangaren jima'i,NEGATIVE
blemish,aibi,aibi,NEGATIVE
misapprehend,rashin fahimta,rashin fahimta,NEGATIVE
gaudy,faras,almubazzari,NEGATIVE
flee,gudu,gudu,NEGATIVE
govern,mulki,mulki,POSITIVE
inferno,rashin zafi,gobara,NEGATIVE
usury,riba,riba,NEGATIVE
hysteric,mai tsada,mai tsada,NEGATIVE
sweaty,gumi,gumi,NEGATIVE
capriciousness,kamun kai,kamun kai,NEGATIVE
rapid,m,sauri,POSITIVE
dominates,mamaye,ya mamaye,POSITIVE
captivating,jan hankali,jan hankali,POSITIVE
dirtiest,mafi datti,mafi datti,NEGATIVE
magic,sihiri,sihiri,POSITIVE
thoughtfully,da tunani,da tunani,POSITIVE
refund,maida,maida,POSITIVE
asperse,kwaskwarima,kwaskwarima,NEGATIVE
hobble,hobble,tafiya a hargitse,NEGATIVE
vexingly,cikin damuwa,cikin damuwa,NEGATIVE
splendidly,splendidly,da kyau,POSITIVE
unsteady,mara ƙarfi,mara ƙarfi,NEGATIVE
enthral,mai ban sha'awa,mai ban sha'awa,POSITIVE
accidental,mai haɗari,mai haɗari,NEGATIVE
luster,haske,haske,POSITIVE
overtaken,wucewa,wucewa,POSITIVE
promotion,gabatarwa,gabatarwa,POSITIVE
subjected,an h .re,abinda ya ke jawo wani abu,NEGATIVE
delinquency,zalunci,zalunci,NEGATIVE
embittered,ɓacin rai,ɓacin rai,NEGATIVE
bungle,daji,yin abu ba kulawa,NEGATIVE
instigation,zuga,zuga,NEGATIVE
sucked,tsotsa,tsotsa,NEGATIVE
shit,shit,banza,NEGATIVE
rubble,tarkace,tarkace,NEGATIVE
educate,ilimantar,ilimantar,POSITIVE
fuzzy,mai hazo,mai hazo,NEGATIVE
stressful,damuwa,damuwa,NEGATIVE
boosting,bunkasa,bunkasa,POSITIVE
discoutinous,rashin fahimta,rashin fahimta,NEGATIVE
punishing,azabtarwa,azabtarwa,NEGATIVE
ruse,rudu,rudu,NEGATIVE
divinely,allahntaka,kudura,POSITIVE
indignant,fusata,fusata,NEGATIVE
outshone,na waje,fin haskakawa,POSITIVE
redemption,fansa,fansa,POSITIVE
ply,tara,tara,POSITIVE
tenacity,ƙarfin hali,ƙarfin hali,POSITIVE
terribleness,rashin tsoro,rashin tsoro,NEGATIVE
spammers,masu tsegumi,masu tsegumi,NEGATIVE
paralysis,inna,shanyewar barin jiki,NEGATIVE
inability,rashin iyawa,rashin iyawa,NEGATIVE
demonstration,zanga-zanga,zanga-zanga,NEGATIVE
forbidding,hana,hana,NEGATIVE
adjustable,daidaitacce,daidaitacce,POSITIVE
concerned,damu,damu,NEGATIVE
banshee,banshee,aljanar mace a tatsuniya,NEGATIVE
foolishly,wauta,wauta,NEGATIVE
pound,laban,laban,NEGATIVE
dejected,raunannu,raunannu,NEGATIVE
