words,sentiment
kakarɓe,NEGATIVE
fahimtan,POSITIVE
kyakkyawon,POSITIVE
madaukakin,POSITIVE
allah ya isama,NEGATIVE
hegiya,NEGATIVE
damadama,POSITIVE
ƙarawa,POSITIVE
gardin,NEGATIVE
cinyewa,POSITIVE
yantaada,NEGATIVE
tsaida,POSITIVE
bayar,POSITIVE
gayyaci,POSITIVE
kyauta,POSITIVE
izgili,NEGATIVE
tsaro,POSITIVE
alwadaran,NEGATIVE
bamucin,NEGATIVE
fitsararre,NEGATIVE
jakar uba,NEGATIVE
inyaso,POSITIVE
rabonsa,POSITIVE
hikima,POSITIVE
munafiki,NEGATIVE
faranta,POSITIVE
madaukaki,POSITIVE
yaqare,NEGATIVE
arzikinsa,POSITIVE
ruda,NEGATIVE
taje,POSITIVE
taaziyyar,POSITIVE
hutawa,POSITIVE
zulumi,NEGATIVE
fiye,POSITIVE
cinyemu,POSITIVE
danasani,NEGATIVE
nashiga,POSITIVE
kuntatama,NEGATIVE
haukatar,NEGATIVE
tsapta,POSITIVE
matsoraciya,NEGATIVE
makaryaci,NEGATIVE
masoyiyah,POSITIVE
tsokanar,NEGATIVE
sakarkarun,NEGATIVE
bakuji,NEGATIVE
wadanran,NEGATIVE
goyanka,POSITIVE
tsinema,NEGATIVE
maa sha allah,POSITIVE
kigwada,POSITIVE
rugurguza,NEGATIVE
kwarto,NEGATIVE
qoqarin,POSITIVE
ciwonku,NEGATIVE
đauki,POSITIVE
batawa,NEGATIVE
zabeshi,POSITIVE
kaso,POSITIVE
saran,NEGATIVE
kaskantashi,NEGATIVE
barawoba,NEGATIVE
yakiyaye,POSITIVE
yassare,POSITIVE
ba kyau,NEGATIVE
tozarci,NEGATIVE
rudani,NEGATIVE
mtsw,NEGATIVE
gabadai,POSITIVE
nakeso,POSITIVE
mugama,POSITIVE
yatsine,NEGATIVE
shiryaki,POSITIVE
alkawari,POSITIVE
fadawanka,POSITIVE
ragargaza,NEGATIVE
tsarki,POSITIVE
akeson,POSITIVE
tarbiyya,POSITIVE
bijirewa,NEGATIVE
kunci,POSITIVE
sharara,NEGATIVE
kyawawa,POSITIVE
sheganta,NEGATIVE
wahalarda,NEGATIVE
makabarta,NEGATIVE
wulaqancin,NEGATIVE
shedan,NEGATIVE
shawaran,POSITIVE
shegantar,NEGATIVE
taxo,POSITIVE
bura ubansu,NEGATIVE
barawon,NEGATIVE
dache,POSITIVE
fizgar,NEGATIVE
ka barmu,NEGATIVE
hanamu,NEGATIVE
ubanki,NEGATIVE
mungode,POSITIVE
biyaki,POSITIVE
sha awar,POSITIVE
zasuji,POSITIVE
jajirtacce,POSITIVE
manyan kobo,NEGATIVE
caccaka,NEGATIVE
baqin ciki,NEGATIVE
kiso,POSITIVE
tsari,POSITIVE
saukin,POSITIVE
barnar,NEGATIVE
ubanka,NEGATIVE
hango,POSITIVE
kazantace,NEGATIVE
jiƙan sa,POSITIVE
aljannah,POSITIVE
ajalin,NEGATIVE
tauna asirin,NEGATIVE
gobara,NEGATIVE
umurnin,POSITIVE
zangazanga,NEGATIVE
aikaaikar,NEGATIVE
zalinci,NEGATIVE
kwantai,NEGATIVE
dokan,POSITIVE
bakantawa,NEGATIVE
yatemaki,POSITIVE
zalince,NEGATIVE
yatemaka,POSITIVE
dadinsa,POSITIVE
kakawomana,POSITIVE
mafificin,POSITIVE
munafikan,NEGATIVE
kaucewa,POSITIVE
zage zage,NEGATIVE
daidaita,POSITIVE
zaiyi,POSITIVE
mukami,POSITIVE
juya,POSITIVE
jiqanta,POSITIVE
mtssss,NEGATIVE
yafiyan,POSITIVE
aurenkie,POSITIVE
damuwarka,NEGATIVE
hadufa,POSITIVE
gyarata,POSITIVE
takama,NEGATIVE
darasi,POSITIVE
rungumeshi,POSITIVE
wargaajejje,NEGATIVE
farincikina,POSITIVE
mawuyacin,NEGATIVE
kicigaba,POSITIVE
kukan,NEGATIVE
tsoronsaba,NEGATIVE
shari,NEGATIVE
takashesu,NEGATIVE
jajirtattu,POSITIVE
cancanta️,POSITIVE
yaji qanshi,POSITIVE
ashariya,NEGATIVE
shawartarku,POSITIVE
zabgegen,NEGATIVE
illar,NEGATIVE
tabatar,POSITIVE
anbada,POSITIVE
aci gaba,POSITIVE
musibarna,NEGATIVE
yafeman,POSITIVE
ubanda,NEGATIVE
ribar,POSITIVE
yankawa,NEGATIVE
wutane,NEGATIVE
siyar,POSITIVE
alhmdllh,POSITIVE
daraja,POSITIVE
antashi,POSITIVE
labe,NEGATIVE
soyayyar,POSITIVE
aljannan,POSITIVE
yamuna,POSITIVE
laifine,NEGATIVE
shegantaka,NEGATIVE
nadawa,POSITIVE
qarawa,POSITIVE
boye,NEGATIVE
sharin,NEGATIVE
kuntata,NEGATIVE
nunamana,POSITIVE
yarasa,NEGATIVE
waiwaye,POSITIVE
hegia,NEGATIVE
kariya,POSITIVE
muni,NEGATIVE
yafemiki,POSITIVE
kashi,NEGATIVE
yan ruwa,NEGATIVE
tsinuwar,NEGATIVE
gaskene,POSITIVE
ajalinmu,NEGATIVE
hassada,NEGATIVE
shirme,NEGATIVE
hamdama,NEGATIVE
shalele,POSITIVE
kaniyan,NEGATIVE
gaskiyan,POSITIVE
lalacewar,NEGATIVE
muna funcin,NEGATIVE
wulakanci,NEGATIVE
nisan kwana,POSITIVE
kaskantar,NEGATIVE
madigo,NEGATIVE
yayan iska,NEGATIVE
jidadi,POSITIVE
wawa,NEGATIVE
yayikyau,POSITIVE
tarawa,POSITIVE
kisan,NEGATIVE
mastiyaci,NEGATIVE
harii,NEGATIVE
koya,POSITIVE
wulaqanci,NEGATIVE
ingantacciyar,POSITIVE
fatara,NEGATIVE
tayaki,POSITIVE
sunsaki,POSITIVE
karyan,NEGATIVE
farin jinin,POSITIVE
anshaa,POSITIVE
jafilci,NEGATIVE
bayanshi,POSITIVE
keta,NEGATIVE
bagidaje,NEGATIVE
zubar,NEGATIVE
gyaramu,POSITIVE
zasuyi,POSITIVE
sabuwa,POSITIVE
ragemin,NEGATIVE
inshaallahu,POSITIVE
anzama,POSITIVE
uban marayu,POSITIVE
dena,NEGATIVE
rahman,POSITIVE
mummunar,NEGATIVE
alhamdulillah,POSITIVE
kaicho,NEGATIVE
nissan,POSITIVE
sunkama,POSITIVE
miqo,POSITIVE
kama karya,NEGATIVE
zunubai,NEGATIVE
dan uwarsa,NEGATIVE
damu,NEGATIVE
rainin wayo,NEGATIVE
ancire,NEGATIVE
alkhr,POSITIVE
uwatai,NEGATIVE
rikichi,NEGATIVE
me garinsu,NEGATIVE
sahihan,POSITIVE
shakka,NEGATIVE
auro,POSITIVE
karewa,NEGATIVE
giwa,POSITIVE
tukwicin,POSITIVE
cibagan,POSITIVE
matsalarsa,NEGATIVE
tsokana,NEGATIVE
illatamu,NEGATIVE
sokaye,NEGATIVE
fari,POSITIVE
lafiyarsu,POSITIVE
raini,NEGATIVE
maraba,POSITIVE
kware,POSITIVE
muradinki,POSITIVE
wargaje,NEGATIVE
wahalar,NEGATIVE
zubbace zubbace,NEGATIVE
yabiyani,POSITIVE
rufewar,NEGATIVE
gatanmu,POSITIVE
hargitsa,NEGATIVE
kauwnaki,POSITIVE
tubanki,POSITIVE
jahilii,NEGATIVE
nitsu,POSITIVE
bakin cikin,NEGATIVE
katausayamana,POSITIVE
asa,POSITIVE
kayen,NEGATIVE
zuwa,POSITIVE
dami,NEGATIVE
karni,NEGATIVE
aurenki,POSITIVE
gafar ta,POSITIVE
cakwakiya,NEGATIVE
kwal ubah,NEGATIVE
ƙadangare,NEGATIVE
qarar,NEGATIVE
bayi,NEGATIVE
zaqin,POSITIVE
aika aikan,NEGATIVE
karo,POSITIVE
fahimceki,POSITIVE
yakar,NEGATIVE
masalaha,POSITIVE
alkhairi,POSITIVE
kasuwa,POSITIVE
yarjejeniyar,POSITIVE
kugane,POSITIVE
tsadar,NEGATIVE
mashaallah,POSITIVE
mawiyachin,NEGATIVE
matsiyata,NEGATIVE
shiryasu,POSITIVE
sauwaqe,POSITIVE
makaryaciya,NEGATIVE
yasada,POSITIVE
ɗauki,POSITIVE
gareku,POSITIVE
albarka,POSITIVE
kariyar,POSITIVE
nayarda,POSITIVE
sulhu,POSITIVE
siririya,NEGATIVE
goyan baya,POSITIVE
cin hanci,NEGATIVE
waliyyan,POSITIVE
banxa,NEGATIVE
nasararce,POSITIVE
fushi,NEGATIVE
dama dama,POSITIVE
kafisu,POSITIVE
fargaba,NEGATIVE
lalatata,NEGATIVE
cutarwa,NEGATIVE
zarata,POSITIVE
masoyinta,POSITIVE
munabayanka,POSITIVE
kajiqan,POSITIVE
tabargaza,NEGATIVE
kinfikyau,POSITIVE
maana,POSITIVE
dadin,POSITIVE
siya,POSITIVE
dan iska,NEGATIVE
wadata,POSITIVE
kare,NEGATIVE
dariyar,POSITIVE
dan shegiya,NEGATIVE
garkuwa,POSITIVE
samesu,POSITIVE
alkairin,POSITIVE
lapiya,POSITIVE
tsafi,NEGATIVE
wutar,NEGATIVE
burgeni,POSITIVE
kunfi,POSITIVE
ganewa,POSITIVE
lpya,POSITIVE
nabar,NEGATIVE
dauka ka,POSITIVE
tsegumin,NEGATIVE
sahannu,POSITIVE
alkahiri,POSITIVE
dan akuya,NEGATIVE
sakeshi,POSITIVE
haɗari,NEGATIVE
kuka,NEGATIVE
wahala,NEGATIVE
uwassa,NEGATIVE
yadace,POSITIVE
azaba,NEGATIVE
jiranki,POSITIVE
kammala,POSITIVE
cikakkun,POSITIVE
zakizo,POSITIVE
ciyo,POSITIVE
gdy,POSITIVE
yayi,POSITIVE
nafison,POSITIVE
tauye,NEGATIVE
xuwan,POSITIVE
cigari,POSITIVE
sunqi,NEGATIVE
tsawon rae,POSITIVE
jahila,NEGATIVE
kayafemana,POSITIVE
cuta,NEGATIVE
wayonki,POSITIVE
kin yi,POSITIVE
amana,POSITIVE
tabin hankalii,NEGATIVE
soshi,POSITIVE
hutuchi,POSITIVE
bamayinsa,NEGATIVE
záɓeka,POSITIVE
qaryane,NEGATIVE
kortaye,NEGATIVE
kayatar,POSITIVE
adalci,POSITIVE
inasan,POSITIVE
zaga,NEGATIVE
adalin,POSITIVE
rikice,NEGATIVE
kwado,NEGATIVE
kwakkwaran,POSITIVE
shishirme,NEGATIVE
,POSITIVE
kwapsawa,NEGATIVE
darajjar,POSITIVE
bazaiyi,NEGATIVE
baxan,NEGATIVE
kaci,POSITIVE
rabu,NEGATIVE
kutimelesi,NEGATIVE
farfado,POSITIVE
keson,POSITIVE
muna fuka,NEGATIVE
dangana,POSITIVE
bakuncinsa,POSITIVE
yawadatamu,POSITIVE
nakesan,POSITIVE
ba kauyen,NEGATIVE
sonji,POSITIVE
fashe,NEGATIVE
tabarbarewa,NEGATIVE
inayinki,POSITIVE
karfice,POSITIVE
gskyar,POSITIVE
wargaza,NEGATIVE
saa,POSITIVE
daura,POSITIVE
taaddancin,NEGATIVE
farin cikin,POSITIVE
godiyan,POSITIVE
bambamta,NEGATIVE
dadinku,POSITIVE
yajikansu,POSITIVE
kakare,POSITIVE
auren,POSITIVE
nasiha,POSITIVE
burge,POSITIVE
alfahari,POSITIVE
tsohonnan,NEGATIVE
rahamarsa,POSITIVE
dacewa,POSITIVE
kaunan,POSITIVE
fushin,NEGATIVE
yakyauta,POSITIVE
ya jikansu,POSITIVE
fusata,NEGATIVE
jagaliyar,NEGATIVE
bala in,NEGATIVE
aljani,NEGATIVE
almajira,NEGATIVE
wankanki,POSITIVE
masha allh,POSITIVE
amfaninta,POSITIVE
sallama,POSITIVE
gwanda,POSITIVE
dabbubine,NEGATIVE
kyautaba,POSITIVE
haukane,NEGATIVE
cutarnnan,NEGATIVE
munemi,POSITIVE
muhimmanci,POSITIVE
annobar,NEGATIVE
sukasha,POSITIVE
kashe,NEGATIVE
namu,POSITIVE
biyaa,POSITIVE
tausayin,POSITIVE
yanason,POSITIVE
yan caca,NEGATIVE
yakaro,POSITIVE
halacci,POSITIVE
barkewa,NEGATIVE
ji qan,POSITIVE
sauwake,POSITIVE
goyi bayan,POSITIVE
jan kati,NEGATIVE
aci uwarsu,NEGATIVE
alkairi,POSITIVE
kabawa,POSITIVE
kwartanci,NEGATIVE
alfahrin,POSITIVE
fitsarrariya,NEGATIVE
mafi alkhairi,POSITIVE
nafi,POSITIVE
hutu,POSITIVE
rayu,POSITIVE
masha allah,POSITIVE
lalaci,NEGATIVE
takurawa,NEGATIVE
qoqarinda,POSITIVE
albakarci,POSITIVE
yaudari,NEGATIVE
yanaji,POSITIVE
kuskure,NEGATIVE
yakamuda,NEGATIVE
albarkan,POSITIVE
daukin,POSITIVE
rusa,NEGATIVE
amiin,POSITIVE
maigafarane,POSITIVE
banason,NEGATIVE
luwadi,NEGATIVE
zaginta,NEGATIVE
kayayewa,POSITIVE
washe baki,POSITIVE
anci amanar,NEGATIVE
cin mutuncin,NEGATIVE
amfana,POSITIVE
kuyafe,POSITIVE
maiisonki,POSITIVE
godewa,POSITIVE
amai,NEGATIVE
tsarkin,POSITIVE
hainchi,NEGATIVE
durun uwa,NEGATIVE
zaluntar,NEGATIVE
raye,POSITIVE
anfada,NEGATIVE
musiba,NEGATIVE
taimakon,POSITIVE
sakarya,NEGATIVE
annubar,NEGATIVE
yajikanshii,POSITIVE
kifi,POSITIVE
fata,POSITIVE
riga kafi,POSITIVE
addabi,NEGATIVE
wutan,NEGATIVE
ango,POSITIVE
angaishe,POSITIVE
kaunarsu,POSITIVE
ba kauye,NEGATIVE
dabba,NEGATIVE
nisa,NEGATIVE
jajircewarki,POSITIVE
tarbiyar,POSITIVE
makamar,POSITIVE
fahimta,POSITIVE
inson,POSITIVE
rashin gaskia,NEGATIVE
bansani,NEGATIVE
surutu,NEGATIVE
bazaa,NEGATIVE
gyaranta,POSITIVE
wucemana,POSITIVE
cizo,NEGATIVE
muna fukai,NEGATIVE
jakine,NEGATIVE
roki,POSITIVE
mashirmacin,NEGATIVE
hutuce,POSITIVE
jijidakai,NEGATIVE
aameen,POSITIVE
ka yi,POSITIVE
tabarbare,NEGATIVE
tsinnan nu,NEGATIVE
banzatar,NEGATIVE
yasadamu,POSITIVE
yarufa,POSITIVE
mori,POSITIVE
yatsayar,POSITIVE
alhmdlh,POSITIVE
sauke,NEGATIVE
tanadi,POSITIVE
ihu,NEGATIVE
daina,NEGATIVE
buda,POSITIVE
wuff,POSITIVE
gajiya,NEGATIVE
mayen,NEGATIVE
taadda,NEGATIVE
mabiya,POSITIVE
shagali,POSITIVE
tuban,POSITIVE
tsiyaba,NEGATIVE
sirara,NEGATIVE
kora,NEGATIVE
salihai,POSITIVE
ayabamata,POSITIVE
zolaya,NEGATIVE
yatsaremu,POSITIVE
cecemu,POSITIVE
na gode,POSITIVE
tonama,NEGATIVE
yaduwa,POSITIVE
aminci,POSITIVE
lalacewa,NEGATIVE
tayaka,POSITIVE
yatabbatar,POSITIVE
zarce,POSITIVE
yarikitamana,NEGATIVE
kasheka,NEGATIVE
tafiye,POSITIVE
masoyiyata,POSITIVE
rudarwa,NEGATIVE
matsu,NEGATIVE
dukan tsiya,NEGATIVE
kwamachala,NEGATIVE
tarwatsa,NEGATIVE
hadama,NEGATIVE
yashirye,POSITIVE
daukinsa,POSITIVE
mayan,NEGATIVE
harbin,NEGATIVE
aurenta,POSITIVE
aljannatul firdaus,POSITIVE
amincewarka,POSITIVE
gaida,POSITIVE
karyane‍️‍️‍️‍‍‍‍‍‍,NEGATIVE
zarewa,NEGATIVE
mafificiyar,POSITIVE
haushi,NEGATIVE
basirar,POSITIVE
yayafe,POSITIVE
karbar,POSITIVE
yagafartamasa,POSITIVE
son,POSITIVE
balai,NEGATIVE
uban su,NEGATIVE
saketa,NEGATIVE
dogara,POSITIVE
farwa,NEGATIVE
biyama,POSITIVE
yamiki,POSITIVE
tsanani,NEGATIVE
kabata,POSITIVE
dan tselan uwa,NEGATIVE
takaice,NEGATIVE
gan ganci,NEGATIVE
qaton,NEGATIVE
ƙuntatawa,NEGATIVE
banzace,NEGATIVE
dadine,POSITIVE
mamaye,POSITIVE
kyautawar,POSITIVE
inganci,POSITIVE
tabiye,POSITIVE
saurara,POSITIVE
ware,NEGATIVE
ji kan,POSITIVE
daukowa,POSITIVE
hankula,POSITIVE
bakinciki,NEGATIVE
matsala‍️,NEGATIVE
hadasu,POSITIVE
nagari,POSITIVE
zaman lafiya,POSITIVE
gaskiyah,POSITIVE
fatarmu,POSITIVE
uwayensu,NEGATIVE
sarauniya,POSITIVE
haukace,NEGATIVE
tsinemuki,NEGATIVE
gawan,NEGATIVE
dauki,POSITIVE
yaji kansa,POSITIVE
kwace,NEGATIVE
anasan,POSITIVE
yan tasha,NEGATIVE
soyyaya,POSITIVE
karekii,POSITIVE
isarwa,POSITIVE
kaikaji,POSITIVE
shiryemu,POSITIVE
taci,POSITIVE
farinciki,POSITIVE
nisan kwanaya,POSITIVE
shege,NEGATIVE
la antarki,NEGATIVE
anyaudaremu,NEGATIVE
murnar,POSITIVE
kwacen,NEGATIVE
makiyan,NEGATIVE
nutsuwar,POSITIVE
aure,POSITIVE
buraubanku,NEGATIVE
tsananta,NEGATIVE
kin hadu,POSITIVE
kwalliyar,POSITIVE
yanaso,POSITIVE
moriyar,POSITIVE
makaryatan,NEGATIVE
tsiyatar,NEGATIVE
zunubansa,NEGATIVE
barka,POSITIVE
bala eh,NEGATIVE
ragewa,NEGATIVE
ƙoƙari,POSITIVE
qwato,POSITIVE
bakn ciki,NEGATIVE
yayafemana,POSITIVE
makiyanka,NEGATIVE
jakkai,NEGATIVE
birgeni,POSITIVE
wadaran,NEGATIVE
chigaba,POSITIVE
soko,NEGATIVE
iskancin,NEGATIVE
mukara,POSITIVE
yaba su,POSITIVE
uwarku,NEGATIVE
shaci fadine,NEGATIVE
qauna,POSITIVE
renawa,NEGATIVE
jikanmu,POSITIVE
anyiwa,POSITIVE
barkada,POSITIVE
zabga,NEGATIVE
yarike,POSITIVE
aljannatul fiddausi,POSITIVE
munafukan,NEGATIVE
kwarin gwiwar,POSITIVE
qanzon kurege,NEGATIVE
dafatan,POSITIVE
albarkanci,POSITIVE
kanshi,POSITIVE
rigakafin,POSITIVE
matsala,NEGATIVE
tareda,POSITIVE
fadawanki,POSITIVE
nisan kwanah,POSITIVE
rigiman,NEGATIVE
karancin,NEGATIVE
rushe,NEGATIVE
nasami,POSITIVE
na gari,POSITIVE
burinki,POSITIVE
mashirmata,NEGATIVE
yazageshi,NEGATIVE
karfinshi,POSITIVE
yapara,POSITIVE
koshin lafiya,POSITIVE
taunawa,POSITIVE
horema,POSITIVE
agaji,POSITIVE
addini,POSITIVE
fitsare,NEGATIVE
matsiyaci,NEGATIVE
sanaar,POSITIVE
anfane,POSITIVE
kaudi,NEGATIVE
yasaka,POSITIVE
munafikaine,NEGATIVE
magani,POSITIVE
lalatattace,NEGATIVE
zagu,NEGATIVE
yayimana,POSITIVE
tuzuru,NEGATIVE
kugani,POSITIVE
addabaimu,NEGATIVE
inaso,POSITIVE
alkhairy,POSITIVE
barkanku,POSITIVE
lafya,POSITIVE
wulakanta,NEGATIVE
kokari,POSITIVE
alfaharin,POSITIVE
maficicin,POSITIVE
tashin tashinar,NEGATIVE
lamuni,POSITIVE
mtswwwwwww,NEGATIVE
kyakyawa️,POSITIVE
amanarmu,POSITIVE
sonku,POSITIVE
kanunawa,POSITIVE
adawa,NEGATIVE
wofi,NEGATIVE
abanza,NEGATIVE
aureta,POSITIVE
mataimaka,POSITIVE
haqqi,POSITIVE
shahada,POSITIVE
gaskiyani,POSITIVE
bangarenci,NEGATIVE
yamaida,POSITIVE
karuwar,POSITIVE
lefi,NEGATIVE
matalauta,NEGATIVE
ƙarbi,POSITIVE
sutura,POSITIVE
uban wa,NEGATIVE
jikanta️,POSITIVE
gaisheki,POSITIVE
warakar,POSITIVE
bulala,NEGATIVE
zaginki,NEGATIVE
ibadar,POSITIVE
musibah,NEGATIVE
rufawa,POSITIVE
kubarmu,NEGATIVE
fitsararriya,NEGATIVE
haukata,NEGATIVE
murabus,NEGATIVE
al jannah,POSITIVE
yayemana,POSITIVE
kyalemu,NEGATIVE
tayinka,POSITIVE
bazance,NEGATIVE
damunku,NEGATIVE
jaki,NEGATIVE
bakin chikin,NEGATIVE
laanannan,NEGATIVE
zagin,NEGATIVE
kyautatawa,POSITIVE
zaluncin,NEGATIVE
anfani,POSITIVE
shishigi,NEGATIVE
yen iskane,NEGATIVE
daukakashi,POSITIVE
yakai,POSITIVE
cire,NEGATIVE
kanyi,POSITIVE
chuta,NEGATIVE
kasaukaka,POSITIVE
yakawomuna,POSITIVE
baayi,NEGATIVE
muntuba,POSITIVE
karawa,POSITIVE
ameeeen,POSITIVE
albarkanshi,POSITIVE
mekyau,POSITIVE
jarumi,POSITIVE
shiriya,POSITIVE
hegu,NEGATIVE
daqiqanci,NEGATIVE
amfanan,POSITIVE
afuwa,POSITIVE
jiqansa,POSITIVE
qware,POSITIVE
rai,POSITIVE
niima,POSITIVE
ahana,NEGATIVE
halal,POSITIVE
salihan,POSITIVE
yajikanka,POSITIVE
kabasu,POSITIVE
tashin hankali,NEGATIVE
debe,NEGATIVE
rahamar,POSITIVE
talakkan,NEGATIVE
munafukai,NEGATIVE
rabasu,NEGATIVE
kutumar,NEGATIVE
firgici,NEGATIVE
musiban,NEGATIVE
kabamu,POSITIVE
birge ni,POSITIVE
yabasu,POSITIVE
riga kafin,POSITIVE
barakallah,POSITIVE
sonki,POSITIVE
tayaku,POSITIVE
tabbata,POSITIVE
tsawon rai,POSITIVE
yawadaran,NEGATIVE
harbi,NEGATIVE
yakasa,NEGATIVE
tsana,NEGATIVE
iskancinka,NEGATIVE
kuskuren,NEGATIVE
parin cikin,POSITIVE
kazamin,NEGATIVE
diba,POSITIVE
